height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 15]","[39.6428244, -82.8157521]",[],"[50, 15]","[52, 15]","[51, 16]","[51, 14]","['Links/Photos_02Aug2018_67', [25, 7]]",[],"['Links/Photos_20AUG2018_33', '[51, 15]']","['Links/Photos_01JUN2018_33', '[51, 15]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 16]","[39.6428244, -82.8158563]",[],"[50, 16]","[52, 16]","[51, 17]","[51, 15]","['Links/Photos_02Aug2018_67', [25, 8]]",[],"['Links/Photos_20AUG2018_33', '[51, 16]']","['Links/Photos_01JUN2018_33', '[51, 16]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 17]","[39.6428244, -82.8159604]",[],"[50, 17]","[52, 17]","[51, 18]","[51, 16]","['Links/Photos_02Aug2018_67', [25, 8]]",[],"['Links/Photos_20AUG2018_33', '[51, 17]']","['Links/Photos_01JUN2018_33', '[51, 17]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 18]","[39.6428244, -82.8160646]",[],"[50, 18]","[52, 18]","[51, 19]","[51, 17]","['Links/Photos_02Aug2018_67', [25, 9]]",[],"['Links/Photos_20AUG2018_33', '[51, 18]']","['Links/Photos_01JUN2018_33', '[51, 18]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 19]","[39.6428244, -82.8161688]",[],"[50, 19]","[52, 19]","[51, 20]","[51, 18]","['Links/Photos_02Aug2018_67', [25, 9]]",[],"['Links/Photos_20AUG2018_33', '[51, 19]']","['Links/Photos_01JUN2018_33', '[51, 19]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 20]","[39.6428244, -82.8162729]",[],"[50, 20]","[52, 20]","[51, 21]","[51, 19]","['Links/Photos_02Aug2018_67', [25, 10]]",[],"['Links/Photos_20AUG2018_33', '[51, 20]']","['Links/Photos_01JUN2018_33', '[51, 20]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 21]","[39.6428244, -82.8163771]",[],"[50, 21]","[52, 21]","[51, 22]","[51, 20]","['Links/Photos_02Aug2018_67', [25, 10]]",[],"['Links/Photos_20AUG2018_33', '[51, 21]']","['Links/Photos_01JUN2018_33', '[51, 21]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 22]","[39.6428244, -82.8164813]",[],"[50, 22]","[52, 22]","[51, 23]","[51, 21]","['Links/Photos_02Aug2018_67', [25, 11]]",[],"['Links/Photos_20AUG2018_33', '[51, 22]']","['Links/Photos_01JUN2018_33', '[51, 22]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 23]","[39.6428244, -82.8165855]",[],"[50, 23]","[52, 23]","[51, 24]","[51, 22]","['Links/Photos_02Aug2018_67', [25, 11]]",[],"['Links/Photos_20AUG2018_33', '[51, 23]']","['Links/Photos_01JUN2018_33', '[51, 23]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 24]","[39.6428244, -82.8166896]",[],"[50, 24]","[52, 24]","[51, 25]","[51, 23]","['Links/Photos_02Aug2018_67', [25, 12]]",[],"['Links/Photos_20AUG2018_33', '[51, 24]']","['Links/Photos_01JUN2018_33', '[51, 24]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 25]","[39.6428244, -82.8167938]",[],"[50, 25]","[52, 25]","[51, 26]","[51, 24]","['Links/Photos_02Aug2018_67', [25, 12]]",[],"['Links/Photos_20AUG2018_33', '[51, 25]']","['Links/Photos_01JUN2018_33', '[51, 25]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 26]","[39.6428244, -82.816898]",[],"[50, 26]","[52, 26]","[51, 27]","[51, 25]","['Links/Photos_02Aug2018_67', [25, 13]]",[],"['Links/Photos_20AUG2018_33', '[51, 26]']","['Links/Photos_01JUN2018_33', '[51, 26]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 27]","[39.6428244, -82.8170021]",[],"[50, 27]","[52, 27]","[51, 28]","[51, 26]","['Links/Photos_02Aug2018_67', [25, 13]]",[],"['Links/Photos_20AUG2018_33', '[51, 27]']","['Links/Photos_01JUN2018_33', '[51, 27]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 28]","[39.6428244, -82.8171063]",[],"[50, 28]","[52, 28]","[51, 29]","[51, 27]","['Links/Photos_02Aug2018_67', [25, 14]]",[],"['Links/Photos_20AUG2018_33', '[51, 28]']","['Links/Photos_01JUN2018_33', '[51, 28]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 29]","[39.6428244, -82.8172105]",[],"[50, 29]","[52, 29]","[51, 30]","[51, 28]","['Links/Photos_02Aug2018_67', [25, 14]]",[],"['Links/Photos_20AUG2018_33', '[51, 29]']","['Links/Photos_01JUN2018_33', '[51, 29]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 30]","[39.6428244, -82.8173146]",[],"[50, 30]","[52, 30]","[51, 31]","[51, 29]","['Links/Photos_02Aug2018_67', [25, 15]]",[],"['Links/Photos_20AUG2018_33', '[51, 30]']","['Links/Photos_01JUN2018_33', '[51, 30]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[51, 31]","[39.6428244, -82.8174188]",[],"[50, 31]","[52, 31]","[51, 32]","[51, 30]","['Links/Photos_02Aug2018_67', [25, 15]]",[],"['Links/Photos_20AUG2018_33', '[51, 31]']","['Links/Photos_01JUN2018_33', '[51, 31]']",[Utility=NaN],"[-1, -1, -1, -1]"
