height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,"[corn=1, Utility=NaN]","[-1, -1, -1, -1]"
33,"[0, 10]","[39.6482787, -82.8152313]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0010.JPG,[],"[1, 10]","[0, 11]","[0, 9]","['Links/Photos_01JUN2018_67', [0, 5]]",[],"['Links/Photos_02Aug2018_33', '[0, 10]']",[],"[Latitude=39.6482835833, Longitude=-82.81523225, BrightnessTotal=0.843389866494, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.873420343137, SaturationTotalGreen=0.841806474673, SaturationTotalBlue=0.745451950572, time=0.533761574074, corn=1, Utility=0.6602390164418722]","[-1, '0.6584436988468084', '0.6575455761546382', '0.6541886645238297']"
33,"[0, 11]","[39.6482787, -82.8153354]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0011.JPG,[],"[1, 11]","[0, 12]","[0, 10]","['Links/Photos_01JUN2018_67', [0, 5]]",[],"['Links/Photos_02Aug2018_33', '[0, 11]']",[],"[Latitude=39.6482838056, Longitude=-82.8153365833, BrightnessTotal=0.833666597001, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.863264527165, SaturationTotalGreen=0.832520960989, SaturationTotalBlue=0.732387612337, time=0.533842592593, corn=1, Utility=0.6575455761546382]","[-1, '0.6542816528199998', '0.6632166934802552', '0.6602390164418722']"
33,"[0, 12]","[39.6482787, -82.8154396]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0012.JPG,[],"[1, 12]","[0, 13]","[0, 11]","['Links/Photos_01JUN2018_67', [0, 6]]",[],"['Links/Photos_02Aug2018_33', '[0, 12]']",[],"[Latitude=39.6482845, Longitude=-82.81544025, BrightnessTotal=0.854950156991, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.882959724775, SaturationTotalGreen=0.853591490502, SaturationTotalBlue=0.762894314236, time=0.533935185185, corn=1, Utility=0.6632166934802552]","[-1, '0.656873773966851', '0.6619350370692765', '0.6575455761546382']"
33,"[0, 13]","[39.6482787, -82.8155438]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0013.JPG,[],"[1, 13]","[0, 14]","[0, 12]","['Links/Photos_01JUN2018_67', [0, 6]]",[],"['Links/Photos_02Aug2018_33', '[0, 13]']",[],"[Latitude=39.6482839167, Longitude=-82.8155455, BrightnessTotal=0.850361505429, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.880850005106, SaturationTotalGreen=0.848348192402, SaturationTotalBlue=0.755514731413, time=0.534016203704, corn=1, Utility=0.6619350370692765]","[-1, '0.6562252250164681', '0.6566784956221275', '0.6632166934802552']"
33,"[0, 14]","[39.6482787, -82.8156479]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0014.JPG,[],"[1, 14]","[0, 15]","[0, 13]","['Links/Photos_01JUN2018_67', [0, 7]]",[],"['Links/Photos_02Aug2018_33', '[0, 14]']",[],"[Latitude=39.6482845278, Longitude=-82.8156496944, BrightnessTotal=0.830042227824, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.863702205882, SaturationTotalGreen=0.82704981107, SaturationTotalBlue=0.733010391136, time=0.534097222222, corn=1, Utility=0.6566784956221275]","[-1, '0.6634858735362978', '0.6651287509340851', '0.6619350370692765']"
33,"[0, 15]","[39.6482787, -82.8157521]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0015.JPG,[],"[1, 15]","[0, 16]","[0, 14]","['Links/Photos_01JUN2018_67', [0, 7]]",[],"['Links/Photos_02Aug2018_33', '[0, 15]']",[],"[Latitude=39.6482841667, Longitude=-82.8157525556, BrightnessTotal=0.862618108376, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.892105928309, SaturationTotalGreen=0.86045677594, SaturationTotalBlue=0.773673432394, time=0.534178240741, corn=1, Utility=0.6651287509340851]","[-1, '0.6641639111819148', '0.6590321528227233', '0.6566784956221275']"
33,"[0, 16]","[39.6482787, -82.8158563]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0016.JPG,[],"[1, 16]","[0, 17]","[0, 15]","['Links/Photos_01JUN2018_67', [0, 8]]",[],"['Links/Photos_02Aug2018_33', '[0, 16]']",[],"[Latitude=39.6482836111, Longitude=-82.8158581111, BrightnessTotal=0.839945712496, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.871503689236, SaturationTotalGreen=0.837660628574, SaturationTotalBlue=0.743670802696, time=0.534270833333, corn=1, Utility=0.6590321528227233]","[-1, '0.6645738672831488', '0.6586272647374468', '0.6651287509340851']"
33,"[0, 17]","[39.6482787, -82.8159604]",/data/chumley/tmp/Photos_01JUN2018//North_Path/Images/33.6Feet/Sorte_1/DJI_0017.JPG,[],"[1, 17]","[0, 18]","[0, 16]","['Links/Photos_01JUN2018_67', [0, 8]]",[],"['Links/Photos_02Aug2018_33', '[0, 17]']",[],"[Latitude=39.6482828611, Longitude=-82.8159616944, BrightnessTotal=0.839348309333, exposureTime=0.01, xResolution=640, yResolution=480, SaturationTotalRed=0.8706417356, SaturationTotalGreen=0.837553564134, SaturationTotalBlue=0.738537530637, time=0.534351851852, corn=1, Utility=0.6586272647374468]","[-1, -1, -1, '0.6590321528227233']"
33,"[0, 18]","[39.6482787, -82.8160646]",[],[],"[1, 18]","[0, 19]","[0, 17]","['Links/Photos_01JUN2018_67', [0, 9]]",[],"['Links/Photos_02Aug2018_33', '[0, 18]']",[],"[corn=1, Utility=NaN]","[-1, '0.6529061027956595', -1, '0.6586272647374468']"
33,"[0, 19]","[39.6482787, -82.8161688]",[],[],"[1, 19]","[0, 20]","[0, 18]","['Links/Photos_01JUN2018_67', [0, 9]]",[],"['Links/Photos_02Aug2018_33', '[0, 19]']",[],"[corn=1, Utility=NaN]","[-1, '0.656114315524851', '0.6535315466886381', -1]"
