height,grid position,latlon,pic,north neighbor,south neighbor,east neighbor,west neighbor,up neighbor,down neighbor,future neighbor,past neighbor,[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 0]","[39.6432522, -82.8141896]",[],"[46, 0]","[48, 0]","[47, 1]",[],"['Links/Photos_02Aug2018_67', [23, 0]]",[],"['Links/Photos_20AUG2018_33', '[47, 0]']","['Links/Photos_01JUN2018_33', '[47, 0]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 1]","[39.6432522, -82.8142937]",[],"[46, 1]","[48, 1]","[47, 2]","[47, 0]","['Links/Photos_02Aug2018_67', [23, 0]]",[],"['Links/Photos_20AUG2018_33', '[47, 1]']","['Links/Photos_01JUN2018_33', '[47, 1]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 2]","[39.6432522, -82.8143979]",[],"[46, 2]","[48, 2]","[47, 3]","[47, 1]","['Links/Photos_02Aug2018_67', [23, 1]]",[],"['Links/Photos_20AUG2018_33', '[47, 2]']","['Links/Photos_01JUN2018_33', '[47, 2]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 3]","[39.6432522, -82.8145021]",[],"[46, 3]","[48, 3]","[47, 4]","[47, 2]","['Links/Photos_02Aug2018_67', [23, 1]]",[],"['Links/Photos_20AUG2018_33', '[47, 3]']","['Links/Photos_01JUN2018_33', '[47, 3]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 4]","[39.6432522, -82.8146062]",[],"[46, 4]","[48, 4]","[47, 5]","[47, 3]","['Links/Photos_02Aug2018_67', [23, 2]]",[],"['Links/Photos_20AUG2018_33', '[47, 4]']","['Links/Photos_01JUN2018_33', '[47, 4]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 5]","[39.6432522, -82.8147104]",[],"[46, 5]","[48, 5]","[47, 6]","[47, 4]","['Links/Photos_02Aug2018_67', [23, 2]]",[],"['Links/Photos_20AUG2018_33', '[47, 5]']","['Links/Photos_01JUN2018_33', '[47, 5]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 6]","[39.6432522, -82.8148146]",[],"[46, 6]","[48, 6]","[47, 7]","[47, 5]","['Links/Photos_02Aug2018_67', [23, 3]]",[],"['Links/Photos_20AUG2018_33', '[47, 6]']","['Links/Photos_01JUN2018_33', '[47, 6]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 7]","[39.6432522, -82.8149187]",[],"[46, 7]","[48, 7]","[47, 8]","[47, 6]","['Links/Photos_02Aug2018_67', [23, 3]]",[],"['Links/Photos_20AUG2018_33', '[47, 7]']","['Links/Photos_01JUN2018_33', '[47, 7]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 8]","[39.6432522, -82.8150229]",[],"[46, 8]","[48, 8]","[47, 9]","[47, 7]","['Links/Photos_02Aug2018_67', [23, 4]]",[],"['Links/Photos_20AUG2018_33', '[47, 8]']","['Links/Photos_01JUN2018_33', '[47, 8]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 9]","[39.6432522, -82.8151271]",[],"[46, 9]","[48, 9]","[47, 10]","[47, 8]","['Links/Photos_02Aug2018_67', [23, 4]]",[],"['Links/Photos_20AUG2018_33', '[47, 9]']","['Links/Photos_01JUN2018_33', '[47, 9]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 10]","[39.6432522, -82.8152313]",[],"[46, 10]","[48, 10]","[47, 11]","[47, 9]","['Links/Photos_02Aug2018_67', [23, 5]]",[],"['Links/Photos_20AUG2018_33', '[47, 10]']","['Links/Photos_01JUN2018_33', '[47, 10]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 11]","[39.6432522, -82.8153354]",[],"[46, 11]","[48, 11]","[47, 12]","[47, 10]","['Links/Photos_02Aug2018_67', [23, 5]]",[],"['Links/Photos_20AUG2018_33', '[47, 11]']","['Links/Photos_01JUN2018_33', '[47, 11]']",[Utility=NaN],"[-1, -1, -1, -1]"
33,"[47, 12]","[39.6432522, -82.8154396]",[],"[46, 12]","[48, 12]","[47, 13]","[47, 11]","['Links/Photos_02Aug2018_67', [23, 6]]",[],"['Links/Photos_20AUG2018_33', '[47, 12]']","['Links/Photos_01JUN2018_33', '[47, 12]']",[Utility=NaN],"[-1, -1, -1, -1]"
